IssuingNetwork,CardNumber
American Express,341243971119684
American Express,377038735492402
American Express,371937154525046
American Express,375466754928398
American Express,341261539229928
American Express,373277986204520
American Express,345019979098211
American Express,377906666465003
American Express,347671084909191
American Express,349511328216532
American Express,342085863151450
American Express,344138412135074
American Express,378681952357391
American Express,377822418395267
American Express,349268428177011
American Express,371471586770285
American Express,370820563162042
American Express,370634800488320
American Express,347616131469269
American Express,345516478182958
American Express,374064293641233
American Express,379621219860158
American Express,340985880901567
American Express,372136935227803
American Express,343041154965206
American Express,379416671330653
American Express,348420350576212
American Express,378796908853903
American Express,343679137510175
American Express,379412437432644
American Express,341907411546363
American Express,345186447684193
American Express,378494969387496
American Express,344433076871381
American Express,370723787416477
American Express,345549033971979
American Express,378941805186946
American Express,375111742481163
American Express,373599301897658
American Express,344607090598597
American Express,379863330859533
American Express,340790828065370
American Express,370815554475056
American Express,375530474807925
American Express,373472729409557
American Express,348443108234330
American Express,373742984253209
American Express,373531626637683
American Express,375712872731689
American Express,349900308609230
American Express,379889807156624
American Express,346506688003887
American Express,343930532914227
American Express,348046974357190
American Express,348173113007740
American Express,344984917734642
American Express,376019313883833
American Express,341704797661530
American Express,378273652579191
American Express,378060458346085
American Express,345662950123555
American Express,378615451828692
American Express,379295314730713
American Express,372129836863222
American Express,372241462347808
American Express,345103832890004
American Express,345333543570815
American Express,378962460751790
American Express,346735090099163
American Express,375533428032913
American Express,373138349908654
American Express,347198235565532
American Express,370122263561536
American Express,344985846456595
American Express,371455535353947
American Express,373247220582353
American Express,344159006006760
American Express,349920784937624
American Express,345575341528912
American Express,372411071877467
American Express,349340689377273
American Express,377272427829718
American Express,341760598069000
American Express,343366975540098
American Express,347380357888492
American Express,340215241258477
American Express,348136420362827
American Express,349922787156012
American Express,372374059154848
American Express,347169982439775
American Express,343213042576285
American Express,377920107596805
American Express,343883350857822
American Express,375221276723573
American Express,375201291282086
American Express,375339769435909
American Express,348254892230891
American Express,347675107946924
American Express,372884676687160
American Express,372390896028854
American Express,341248526245058
American Express,347491298143325
American Express,377202254409250
American Express,346935151500980
American Express,349391546170054
American Express,342216667018831
American Express,379977706306901
American Express,378070570189008
American Express,376066234377650
American Express,370806634942009
American Express,374544478760635
American Express,348216276983338
